data,algoritmo,n,caso,tempo,memoria
2024-07-05 22:43:10,quick_sort_random,10000000,worst,472.8709654000122,76.29836177825928
2024-07-05 22:51:03,quick_sort_random,10000000,average,505.3855528799992,76.33793392181397
2024-07-08 01:03:50,quick_sort_median,100,best,0.0002663000486791134,0.025629043579101562
2024-07-08 01:03:50,quick_sort_median,100,worst,0.0002756000030785799,0.22345924377441406
2024-07-08 01:03:50,quick_sort_median,100,average,0.0002658999990671873,0.025430679321289062
2024-07-08 01:03:50,quick_sort_median,1000,best,0.011987299949396402,0.025400161743164062
2024-07-08 01:03:50,quick_sort_median,1000,worst,0.019599299994297326,0.025392532348632812
2024-07-08 01:03:50,quick_sort_median,1000,average,0.014406880014576018,0.025369644165039062
2024-07-08 01:03:50,quick_sort_median,10000,best,0.1886439000372775,0.07860469818115234
2024-07-08 01:03:50,quick_sort_median,10000,worst,0.3448344999924302,0.07901668548583984
2024-07-08 01:03:51,quick_sort_median,10000,average,0.22460778000531717,0.07884426116943359
2024-07-08 01:03:52,quick_sort_median,100000,best,2.4108309999573976,0.7653875350952148
2024-07-08 01:03:54,quick_sort_median,100000,worst,4.768004899960943,0.7660360336303711
2024-07-08 01:03:59,quick_sort_median,100000,average,2.8586140599916687,0.7658330917358398
2024-07-08 01:04:14,quick_sort_median,1000000,best,27.86314129998209,7.631987571716309
2024-07-08 01:04:41,quick_sort_median,1000000,worst,59.663705400016624,7.632857322692871
2024-07-08 01:05:41,quick_sort_median,1000000,average,33.571228040009736,7.632637596130371
2024-07-08 01:08:31,quick_sort_median,10000000,best,324.32524759997614,76.29676723480225
2024-07-08 01:13:56,quick_sort_median,10000000,worst,712.5831578000216,76.2978048324585
2024-07-08 01:25:49,quick_sort_median,10000000,average,389.1405620599864,76.297487449646
2024-07-09 11:55:06,tim_sort,100,best,4.299974534660578e-06,0.025629043579101562
2024-07-09 11:55:06,tim_sort,100,worst,3.400025889277458e-06,0.025522232055664062
2024-07-09 11:55:06,tim_sort,100,average,8.220004383474589e-06,0.06501808166503906
2024-07-09 11:55:06,tim_sort,1000,best,9.599956683814526e-06,0.025400161743164062
2024-07-09 11:55:06,tim_sort,1000,worst,8.500006515532732e-06,0.025392532348632812
2024-07-09 11:55:06,tim_sort,1000,average,0.00010165998246520757,0.025369644165039062
2024-07-09 11:55:06,tim_sort,10000,best,0.0001170000177808106,0.07765483856201172
2024-07-09 11:55:06,tim_sort,10000,worst,5.790003342553973e-05,0.07763957977294922
2024-07-09 11:55:06,tim_sort,10000,average,0.0012334200087934732,0.11574230194091797
2024-07-09 11:55:06,tim_sort,100000,best,0.005435700004454702,0.7642393112182617
2024-07-09 11:55:06,tim_sort,100000,worst,0.001284700003452599,0.7642316818237305
2024-07-09 11:55:06,tim_sort,100000,average,0.021989900001790373,1.1455167770385741
2024-07-09 11:55:07,tim_sort,1000000,best,0.030736799992155284,7.6306562423706055
2024-07-09 11:55:07,tim_sort,1000000,worst,0.04053369996836409,7.6306562423706055
2024-07-09 11:55:07,tim_sort,1000000,average,0.32580026000505313,11.445113945007325
2024-07-09 11:55:11,tim_sort,10000000,best,0.24059659999329597,76.2952070236206
2024-07-09 11:55:12,tim_sort,10000000,worst,0.2775287000113167,76.2952070236206
2024-07-09 11:55:13,tim_sort,10000000,average,4.280926339991856,114.44213695526123


